ID,zgrism,e_zgrism,E_zgrism,logMgrism,e_logMgrism,E_logMgrism,logsSFR,e_logsSFR,E_logsSFR,Avmag,e_Avmag,E_Avmag,logS1,e_logS1,E_logS1,tQ,e_tQ,E_tQ,z50,e_z50,E_z50,field,gid,fitting_region_160,fitting_region_125,fitting_region_850,new
GND-29879,0.711,0.002,0.001,10.8,0.03,0.04,-12.2,0.5,0.4,0.22,0.14,0.3,9.99,0.05,0.05,1.3,0.8,0.4,1.6,0.2,0.2,GND,29879,masked,masked,small,yes
GSD-41147,0.73,0.002,0.002,10.74,0.02,0.02,-11.6,0.1,0.4,0.2,0.15,0.24,9.96,0.02,0.02,2.5,0.5,0.3,2.1,0.3,0.2,GSD,41147,medium,masked,masked,yes
GSD-47140,0.731,0.002,0.002,10.7,0.02,0.03,-12.0,0.1,0.2,0.0,0.0,0.02,9.71,0.04,0.04,1.9,1.1,0.4,2.8,0.8,0.2,GSD,47140,masked,masked,masked,yes
GSD-46001,0.732,0.001,0.001,11.1,0.02,0.03,-11.7,0.1,0.5,0.43,0.35,0.47,10.05,0.03,0.03,1.8,0.8,0.3,1.9,0.4,0.1,GSD,46001,masked,small,masked,yes
GND-27006,0.743,0.001,0.001,10.88,0.02,0.04,-12.0,0.2,0.6,0.26,0.2,0.34,10.13,0.04,0.04,2.3,1.0,0.5,3.0,0.8,0.5,GND,27006,masked,small,small,yes
GND-22358,0.779,0.005,0.005,10.7,0.03,0.03,-11.6,0.2,0.1,0.18,0.13,0.26,9.77,0.04,0.04,1.9,0.6,0.5,3.1,0.6,0.5,GND,22358,masked,small,small,yes
GND-36838,0.799,0.002,0.002,10.73,0.03,0.04,-12.4,0.3,0.6,0.03,0.01,0.1,9.94,0.04,0.04,1.9,0.8,0.5,3.6,1.0,0.6,GND,36838,large,masked,masked,yes
GND-37186,0.804,0.001,0.001,10.91,0.02,0.02,-11.9,0.1,0.6,0.01,0.01,0.06,10.05,0.03,0.03,1.4,0.5,0.4,2.4,0.3,0.2,GND,37186,masked,small,small,yes
GND-13774,0.8490000000000001,0.001,0.001,11.02,0.03,0.02,-12.4,0.1,1.1,0.01,0.01,0.01,10.14,0.03,0.03,0.5,0.6,0.4,2.8,0.4,0.2,GND,13774,masked,small,masked,yes
GND-32108,0.855,0.002,0.004,10.66,0.03,0.03,-11.2,0.2,0.1,0.33,0.26,0.51,9.72,0.04,0.04,2.1,1.1,0.4,2.6,0.7,0.4,GND,32108,masked,masked,small,yes
GND-23459,0.858,0.001,0.001,10.93,0.02,0.02,-12.2,0.4,0.5,0.41,0.31,0.48,10.01,0.03,0.03,1.6,0.8,0.4,3.1,0.7,0.3,GND,23459,masked,masked,large,yes
GND-24795,0.858,0.002,0.003,10.84,0.03,0.03,-11.9,0.3,0.5,0.0,0.0,0.07,9.73,0.05,0.05,1.3,0.8,0.3,1.8,0.3,0.1,GND,24795,masked,small,masked,yes
GND-14158,0.9109999999999999,0.004,0.005,10.58,0.02,0.02,-11.3,0.1,0.3,0.0,0.0,0.02,9.71,0.03,0.03,1.1,1.0,0.2,1.9,0.4,0.1,GND,14158,large,small,masked,yes
GND-29183,0.9329999999999999,0.002,0.006999999999999999,10.5,0.03,0.03,-11.5,0.6,0.3,0.45,0.34,0.58,9.83,0.03,0.03,1.6,0.9,0.8,2.2,0.1,0.7,GND,29183,masked,small,small,yes
GND-24177,0.937,0.002,0.002,10.96,0.03,0.03,-12.2,0.2,0.5,0.0,0.0,0.04,9.93,0.03,0.03,1.7,0.7,0.4,3.7,0.8,0.5,GND,24177,masked,small,small,yes
GND-23081,0.938,0.001,0.001,11.15,0.02,0.02,-12.2,0.2,0.2,0.17,0.14,0.22,10.25,0.03,0.03,1.3,1.8,0.5,4.2,0.7,1.0,GND,23081,masked,small,masked,yes
GND-22213,0.938,0.001,0.001,11.19,0.02,0.02,-12.2,0.1,0.5,0.01,0.01,0.09,10.4,0.03,0.03,2.1,0.5,0.4,5.4,1.1,1.2,GND,22213,masked,masked,masked,yes
